id,seq,name,gender,ageBand,ageBandLabel,ethnicity_group,descent,age,build,hair,skin,outfit
"kid-f-black_african-1","31","Adaeze","female","kids","Kids (6–8)","Black / African","Nigerian","6","slight, naturally slim build for their age","long straight hair","rich deep-brown skin","a beige crew-neck t-shirt"
"kid-f-black_african-2","33","Rahel","female","kids","Kids (6–8)","Black / African","Ethiopian","7","average healthy build for their age","shoulder-length hair with a soft fringe","rich deep-brown skin","a plain white crew-neck t-shirt"
"kid-f-black_african-3","35","Abena","female","kids","Kids (6–8)","Black / African","Ghanaian","8","sturdy, solid build for their age","two braided pigtails","rich deep-brown skin","a stone-grey henley top"
"kid-f-black_african-4","37","Neema","female","junior","Junior (9–12)","Black / African","Kenyan","10","petite and small for their age","short rounded bob","rich deep-brown skin","a black crew-neck t-shirt"
"kid-f-black_african-5","39","Aaliyah","female","junior","Junior (9–12)","Black / African","African-American","12","tall for their age with long legs","natural voluminous curls","rich deep-brown skin","a beige crew-neck t-shirt"
"kid-f-east_asian-1","01","Seoyun","female","kids","Kids (6–8)","East Asian","Korean","6","slight, naturally slim build for their age","long straight hair","fair-to-warm ivory skin","a plain white crew-neck t-shirt"
"kid-f-east_asian-2","03","Hina","female","kids","Kids (6–8)","East Asian","Japanese","7","average healthy build for their age","shoulder-length hair with a soft fringe","fair-to-warm ivory skin","a stone-grey henley top"
"kid-f-east_asian-3","05","Xinyi","female","kids","Kids (6–8)","East Asian","Chinese","8","sturdy, solid build for their age","two braided pigtails","fair-to-warm ivory skin","a black crew-neck t-shirt"
"kid-f-east_asian-4","07","Nomin","female","junior","Junior (9–12)","East Asian","Mongolian","10","petite and small for their age","short rounded bob","fair-to-warm ivory skin","a beige crew-neck t-shirt"
"kid-f-east_asian-5","09","Yuqi","female","junior","Junior (9–12)","East Asian","Taiwanese","12","tall for their age with long legs","natural voluminous curls","fair-to-warm ivory skin","a plain white crew-neck t-shirt"
"kid-f-hispanic_latino-1","51","Isabela","female","kids","Kids (6–8)","Hispanic / Latino","Mexican","6","slight, naturally slim build for their age","long straight hair","warm olive-tan skin","a stone-grey henley top"
"kid-f-hispanic_latino-2","53","Clara","female","kids","Kids (6–8)","Hispanic / Latino","Brazilian","7","average healthy build for their age","shoulder-length hair with a soft fringe","warm olive-tan skin","a black crew-neck t-shirt"
"kid-f-hispanic_latino-3","55","Antonia","female","kids","Kids (6–8)","Hispanic / Latino","Colombian","8","sturdy, solid build for their age","two braided pigtails","warm olive-tan skin","a beige crew-neck t-shirt"
"kid-f-hispanic_latino-4","57","Renata","female","junior","Junior (9–12)","Hispanic / Latino","Argentine","10","petite and small for their age","short rounded bob","warm olive-tan skin","a plain white crew-neck t-shirt"
"kid-f-hispanic_latino-5","59","Ximena","female","junior","Junior (9–12)","Hispanic / Latino","Puerto Rican","12","tall for their age with long legs","natural voluminous curls","warm olive-tan skin","a stone-grey henley top"
"kid-f-mena-1","61","Yasmin","female","kids","Kids (6–8)","Middle Eastern / North African","Lebanese","6","slight, naturally slim build for their age","long straight hair","warm light-olive skin","a black crew-neck t-shirt"
"kid-f-mena-2","63","Anahita","female","kids","Kids (6–8)","Middle Eastern / North African","Iranian","7","average healthy build for their age","shoulder-length hair with a soft fringe","warm light-olive skin","a beige crew-neck t-shirt"
"kid-f-mena-3","65","Defne","female","kids","Kids (6–8)","Middle Eastern / North African","Turkish","8","sturdy, solid build for their age","two braided pigtails","warm light-olive skin","a plain white crew-neck t-shirt"
"kid-f-mena-4","67","Amina","female","junior","Junior (9–12)","Middle Eastern / North African","Moroccan","10","petite and small for their age","short rounded bob","warm light-olive skin","a stone-grey henley top"
"kid-f-mena-5","69","Farida","female","junior","Junior (9–12)","Middle Eastern / North African","Egyptian","12","tall for their age with long legs","natural voluminous curls","warm light-olive skin","a black crew-neck t-shirt"
"kid-f-mixed-1","71","Aria","female","kids","Kids (6–8)","Mixed / Multiracial","Afro-European","6","slight, naturally slim build for their age","long straight hair","warm caramel skin","a beige crew-neck t-shirt"
"kid-f-mixed-2","73","Suki","female","kids","Kids (6–8)","Mixed / Multiracial","Eurasian","7","average healthy build for their age","shoulder-length hair with a soft fringe","warm caramel skin","a plain white crew-neck t-shirt"
"kid-f-mixed-3","75","Noor","female","kids","Kids (6–8)","Mixed / Multiracial","Afro-Asian","8","sturdy, solid build for their age","two braided pigtails","warm caramel skin","a stone-grey henley top"
"kid-f-mixed-4","77","Lia","female","junior","Junior (9–12)","Mixed / Multiracial","Latino-Asian","10","petite and small for their age","short rounded bob","warm caramel skin","a black crew-neck t-shirt"
"kid-f-mixed-5","79","Sana","female","junior","Junior (9–12)","Mixed / Multiracial","MENA-European","12","tall for their age with long legs","natural voluminous curls","warm caramel skin","a beige crew-neck t-shirt"
"kid-f-south_asian-1","21","Anaya","female","kids","Kids (6–8)","South Asian","Indian","6","slight, naturally slim build for their age","long straight hair","warm deep-brown skin","a black crew-neck t-shirt"
"kid-f-south_asian-2","23","Fatima","female","kids","Kids (6–8)","South Asian","Pakistani","7","average healthy build for their age","shoulder-length hair with a soft fringe","warm deep-brown skin","a beige crew-neck t-shirt"
"kid-f-south_asian-3","25","Dilini","female","kids","Kids (6–8)","South Asian","Sri Lankan","8","sturdy, solid build for their age","two braided pigtails","warm deep-brown skin","a plain white crew-neck t-shirt"
"kid-f-south_asian-4","27","Rumana","female","junior","Junior (9–12)","South Asian","Bangladeshi","10","petite and small for their age","short rounded bob","warm deep-brown skin","a stone-grey henley top"
"kid-f-south_asian-5","29","Sita","female","junior","Junior (9–12)","South Asian","Nepali","12","tall for their age with long legs","natural voluminous curls","warm deep-brown skin","a black crew-neck t-shirt"
"kid-f-southeast_asian-1","11","Marisol","female","kids","Kids (6–8)","Southeast Asian","Filipino","6","slight, naturally slim build for their age","long straight hair","warm golden-tan skin","a stone-grey henley top"
"kid-f-southeast_asian-2","13","Ploy","female","kids","Kids (6–8)","Southeast Asian","Thai","7","average healthy build for their age","shoulder-length hair with a soft fringe","warm golden-tan skin","a black crew-neck t-shirt"
"kid-f-southeast_asian-3","15","Sari","female","kids","Kids (6–8)","Southeast Asian","Indonesian","8","sturdy, solid build for their age","two braided pigtails","warm golden-tan skin","a beige crew-neck t-shirt"
"kid-f-southeast_asian-4","17","Mai","female","junior","Junior (9–12)","Southeast Asian","Vietnamese","10","petite and small for their age","short rounded bob","warm golden-tan skin","a plain white crew-neck t-shirt"
"kid-f-southeast_asian-5","19","Aisyah","female","junior","Junior (9–12)","Southeast Asian","Malaysian","12","tall for their age with long legs","natural voluminous curls","warm golden-tan skin","a stone-grey henley top"
"kid-f-white_european-1","41","Astrid","female","kids","Kids (6–8)","White / European","Scandinavian","6","slight, naturally slim build for their age","long straight hair","fair porcelain skin","a plain white crew-neck t-shirt"
"kid-f-white_european-2","43","Mila","female","kids","Kids (6–8)","White / European","Slavic","7","average healthy build for their age","shoulder-length hair with a soft fringe","fair porcelain skin","a stone-grey henley top"
