id,seq,name,category,scene,light,mood
"bg-studio-1","01","Shadow Play","Studio","a clean studio with a warm-grey seamless backdrop and soft venetian-blind shadow patterns across it","soft directional light casting defined shadow shapes","minimal editorial"
"bg-studio-2","02","Color Pop","Studio","a studio with a smooth solid soft-coral seamless backdrop","bright even softbox light","minimal editorial"
"bg-studio-3","03","Paper Sweep","Studio","a studio with an off-white paper cyclorama sweeping into the floor","soft graduated studio light","minimal editorial"
"bg-studio-4","04","Spotlight","Studio","a dark moody studio with a single pool of light and deep falloff","dramatic single hard spotlight","minimal editorial"
"bg-studio-5","05","Gradient Dusk","Studio","a studio with a smooth blue-to-blush gradient backdrop","soft even light with a subtle glow","minimal editorial"
"bg-home-1","06","Sunlit Loft","Home / Lifestyle","a bright minimalist loft apartment with warm wood floors and tall industrial windows","warm daylight streaming through the windows","warm lived-in"
"bg-home-2","07","Reading Nook","Home / Lifestyle","a cozy reading nook with a linen armchair, a full bookshelf and a soft floor lamp","warm low ambient lamp light","warm lived-in"
"bg-home-3","08","Scandi Living","Home / Lifestyle","a neutral Scandinavian living room with pale wood, soft textiles and a few plants","soft diffused overcast daylight","warm lived-in"
"bg-home-4","09","Morning Kitchen","Home / Lifestyle","a bright modern kitchen with a white marble counter and matte cabinetry","clean cool morning daylight","warm lived-in"
"bg-home-5","10","Linen Bedroom","Home / Lifestyle","a serene bedroom with soft linen bedding and sheer white curtains","gentle backlit morning light through the curtains","warm lived-in"
"bg-venue-1","11","Corner Cafe","Cafe / Retail / Venue","a cozy corner cafe interior with a marble table, warm wood and soft background bokeh","warm tungsten ambient light","refined ambient"
"bg-venue-2","12","Concept Boutique","Cafe / Retail / Venue","a minimalist concept boutique with softly blurred clothing racks and pale walls","clean even retail lighting","refined ambient"
"bg-venue-3","13","Art Gallery","Cafe / Retail / Venue","a bright white-walled art gallery with a light oak floor","soft even gallery light","refined ambient"
"bg-venue-4","14","Hotel Lobby","Cafe / Retail / Venue","a luxe hotel lobby with marble, brass accents and low velvet seating","warm layered ambient light","refined ambient"
"bg-venue-5","15","Old Bookstore","Cafe / Retail / Venue","a vintage bookstore with warm wooden shelves stacked with books","warm cozy interior light","refined ambient"
"bg-urban-1","16","City Street","Urban / Street","a daytime city sidewalk with softly blurred storefronts behind","bright natural overcast daylight","candid street"
"bg-urban-2","17","Shaded Alley","Urban / Street","a narrow European alley with cobblestones and weathered walls","soft shaded ambient light","candid street"
"bg-urban-3","18","Rooftop View","Urban / Street","an urban rooftop with a hazy city skyline behind","warm golden-hour light","candid street"
"bg-urban-4","19","Crosswalk","Urban / Street","a busy urban crosswalk with motion-blurred traffic behind","crisp daylight","candid street"
"bg-urban-5","20","Subway Platform","Urban / Street","a clean modern subway platform with tiled walls","cool even fluorescent light","candid street"
"bg-architectural-1","21","Concrete Minimal","Architectural / Minimal","a raw brutalist concrete wall with clean negative space","hard directional light with crisp shadow","sculptural minimal"
"bg-architectural-2","22","Marble Hall","Architectural / Minimal","a grand marble hall with tall columns","soft diffused daylight from high windows","sculptural minimal"
"bg-architectural-3","23","Spiral Staircase","Architectural / Minimal","a sculptural white spiral staircase","bright soft architectural light","sculptural minimal"
"bg-architectural-4","24","Arched Corridor","Architectural / Minimal","a sunlit arched colonnade with warm stone","warm raking sunlight through the arches","sculptural minimal"
"bg-architectural-5","25","Glass Atrium","Architectural / Minimal","a modern glass atrium with clean lines and greenery","bright airy natural light","sculptural minimal"
"bg-nature-1","26","Garden Green","Nature / Outdoor","a lush green garden with soft foliage","soft dappled daylight","natural fresh"
"bg-nature-2","27","Forest Path","Nature / Outdoor","a quiet forest path with tall trees","dappled light filtering through leaves","natural fresh"
"bg-nature-3","28","Wild Meadow","Nature / Outdoor","an open meadow of tall grass swaying","soft breezy afternoon light","natural fresh"
"bg-nature-4","29","Coastal Cliff","Nature / Outdoor","a Mediterranean coastal cliff with deep blue sea behind","bright coastal sunlight","natural fresh"
"bg-nature-5","30","Autumn Park","Nature / Outdoor","a park path covered in golden autumn leaves","warm soft autumn light","natural fresh"
"bg-golden-1","31","Golden Field","Golden / Editorial Light","a golden-hour wheat field stretching to the horizon","warm backlit golden-hour glow","cinematic"
"bg-golden-2","32","Sunset Terrace","Golden / Editorial Light","a warm rooftop terrace at sunset","soft orange sunset light","cinematic"
"bg-golden-3","33","Backlit Window","Golden / Editorial Light","a room with a large bright window behind the subject","strong backlight creating a soft rim","cinematic"
"bg-golden-4","34","Neon Night","Golden / Editorial Light","a moody city street at night with colorful neon signage","mixed neon and streetlight glow","cinematic"
"bg-golden-5","35","Poolside","Golden / Editorial Light","a bright poolside with turquoise water and clean loungers","high-key summer sunlight","cinematic"
"bg-seasonal-1","36","Snowy Street","Seasonal / Mood","a quiet snow-covered street with soft falling snow","soft cool overcast winter light","atmospheric"
"bg-seasonal-2","37","Rainy Window","Seasonal / Mood","indoors beside a rain-streaked window","soft moody diffused daylight","atmospheric"
"bg-seasonal-3","38","Spring Blossom","Seasonal / Mood","under blooming cherry-blossom trees","soft pastel spring light","atmospheric"
"bg-seasonal-4","39","Tropical Palm","Seasonal / Mood","a bright tropical setting with palm leaves","vivid warm tropical sunlight","atmospheric"
"bg-seasonal-5","40","Desert Dune","Seasonal / Mood","warm minimal desert dunes under a clear sky","warm directional desert light","atmospheric"
