vertical,sort_order,name,category,output_type,count,credit_cost,aspect_ratio,text_overlay,flags,rationale
coffee,1,Latte Art Top-Down,Studio,image_set,4,2,4:5,false,,카페·배달앱 메뉴 썸네일용 음료 표면 탑다운; 라떼아트·크레마·아이스 탑뷰를 작은 크기에서 즉시 인지시키는 가장 저렴한 ◈2 진입점.
coffee,2,Cozy Cafe Moment,Lifestyle,image_set,4,2,4:5,false,,분위기를 파는 카페·홈카페 인스타 콘텐츠; 펼친 책·린넨·우드 코스터·부드러운 창광의 슬로우리빙 무드컷이 저장·공유와 리치를 견인하는 카탈로그의 시그니처 감성 세트.
coffee,3,Iced Coffee Condensation Hero,Macro,image_set,4,2,4:5,false,,차가운 시그니처 음료의 군침 클로즈업; 맺힌 응결·빛나는 얼음·우유 스월 푸어의 밝고 신선한 매크로가 전환율 높은 정지 이미지(#2 다크 무디와 룩 대비로 카탈로그 폭 확보).
coffee,4,Signature Drink Menu Card,Menu,image_set,6,3,4:5,true,,"카페가 가장 자주 요청하는 메뉴판·시그니처 음료 가격 카드; 음료 그리드 배경만 AI로 만들고 메뉴명·가격은 오버레이로 합성해 SAFETY_NEGATIVE 텍스트 제약을 우회, 최대 16개 음료까지 확장."
coffee,5,Single-Cup Pour Reel,Reel,reel,1,2,9:16,false,,오늘의 음료·신메뉴 즉시 게시용 가장 저렴한 릴(◈2); 단일 시그니처 음료에 슬로우 매크로 푸시인으로 스팀·푸어·광택을 잡아 빠른 소셜 반응 확인에 최적인 데일리 드립.
coffee,6,Latte Pour & Crema Reel,Reel,reel,2,4,9:16,false,needs_human_review,음료만의 시그니처 모션을 채우는 2샷 릴; 스팀밀크 푸어로 라떼아트가 형성되거나 우유가 얼음 위로 쏟아지는 밝은 하이키 컷이 카페 콘텐츠의 핵심 동력.
coffee,7,Cafe Steam & Crema ASMR,Reel,reel,3,6,9:16,false,needs_human_review,알고리즘 쇼트폼을 노리는 카페 브랜드의 모션 히어로; 스팀·크레마 스월·풀백 리빌 3샷 ASMR 릴이 카탈로그의 시네마틱 정점이자 체류시간 확보용 콘텐츠.
coffee,8,Noir Marble Coffee,Editorial,image_set,4,2,4:5,false,,"카페·스페셜티 브랜드의 프리미엄 캠페인용 고급 정물; 다크 마블·브러시드 브라스·드라마틱 측광의 에디토리얼 누아르 룩으로 어떤 커피든 '비싸 보이게' 연출해 브랜드 격을 올리는 럭셔리 히어로 세트(코지 무드 세트와 룩 대비로 카탈로그 상단 포지셔닝)."
coffee,9,Slow Morning Coffee,Lifestyle,image_set,4,2,4:5,false,,"유저가 가진 어떤 커피 사진이든(핫·아이스, 라떼·아메리카노·콜드브루 등) 1장 올리면 레퍼런스 무드 그대로 — 펼친 책+우드 코스터+구겨진 린넨+측면 창광의 슬로우리빙 감성 한 컷으로 재현하는 시그니처 단일룩 세트. #2(분위기 다양 세트)와 달리 이 정확한 한 컷에 집중해 저장·공유 전환을 노린다."
coffee,10,Golden Hour Window,Lifestyle,image_set,4,2,4:5,false,,"따뜻한 골든아워 역광으로 '진짜 카메라로 찍은' 감성을 극대화하는 실사 룩; 35mm 단렌즈·자연 플레어·긴 그림자가 인스타 저장·공유를 견인하는 어센틱 에디토리얼 한 컷."
